original_species;species
Calyptorhynchus funereus baudinii Calyptorhynchus baudinii baudinii;Zanda baudinii
Calyptorhynchus funereus latirostris Calyptorhynchus baudinii latirostris;Zanda latirostris
Psittacus erithacus timneh;Psittacus timneh
Psittacus erithacus erithacus                Psittacus erithacus princeps;Psittacus erithacus
Poicephalus robustus robustus;Poicephalus robustus
Poicephalus robustus fuscicollis      Poicephalus robustus suahelicus;Poicephalus fuscicollis
Touit dilectissimus costaricensis;Touit costaricensis
Touit dilectissimus dilectissimus;Touit dilectissimus
Myiopsitta monachus luchsi;Myiopsitta luchsi
Myiopsitta monachus monachus                Myiopsitta monachus cotorra                 Myiopsitta monachus calita;Myiopsitta monachus
Brotogeris versicolurus versicolurus;Brotogeris versicolurus
Brotogeris versicolurus chiriri            Brotogeris versicolurus behni;Brotogeris chiriri
Hapalopsittaca amazonina amazonina    Hapalopsittaca amazonina velezi                      Hapalopsittaca amazonina theresae;Hapalopsittaca amazonina
Hapalopsittaca amazonina fuertesi;Hapalopsittaca fuertesi
Hapalopsittaca amazonina pyrrhops;Hapalopsittaca pyrrhops
Pionus tumultuosus seniloides;Pionus seniloides
Pionus tumultuosus tumultuosus;Pionus tumultuosus
Pionus menstruus menstruus                    Pionus menstruus rubrigularis;Pionus menstruus
Pionus menstruus reichenowi;Pionus reichenowi
Amazona festiva bodini;Amazona bodini
Amazona festiva festiva;Amazona festiva
Amazona autumnalis autumnalis           Amazona autumnalis salvini;Amazona autumnalis
Amazona autumnalis lilacina;Amazona lilacina
Amazona autumnalis diadema;Amazona diadema
Amazona ochrocephala oratrix        Amazona ochrocephala tresmariae              Amazona ochrocephala magna                    Amazona ochrocephala belizensis              Amazona ochrocephala hondurensis;Amazona oratrix
Amazona ochrocephala auropalliata            Amazona ochrocephala caribaea                    Amazona ochrocephala parvipes               Amazona oratrix auropalliata;Amazona auropalliata
Amazona ochrocephala ochrocephala            Amazona ochrocephala panamensis             Amazona ochrocephala xantholaema           Amazona ochrocephala nattereri;Amazona ochrocephala
Amazona farinosa guatemalae       Amazona farinosa virenticeps;Amazona guatemalae
Amazona farinosa farinosa;Amazona farinosa
Forpus xanthopterygius spengeli         Forpus passerinus spengeli;Forpus spengeli
Forpus xanthopterygius xanthopterygius Forpus xanthopterygius crassirostris Forpus xanthopterygius flavescens      Forpus xanthopterygius flavissimus;Forpus xanthopterygius
Pionites leucogaster xanthomerius;Pionites xanthomerius
Pionites leucogaster xanthurus;Pionites xanthurus
Pionites leucogaster leucogaster;Pionites leucogaster
Pyrrhura leucotis pfrimeri;Pyrrhura pfrimeri
Pyrrhura leucotis griseipectus;Pyrrhura griseipectus
Pyrrhura leucotis emma;Pyrrhura emma
Pyrrhura leucotis leucotis;Pyrrhura leucotis
Pyrrhura melanura pacifica;Pyrrhura pacifica
Pyrrhura melanura chapmani;Pyrrhura chapmani
Pyrrhura melanura melanura                  Pyrrhura melanura souancei                      Pyrrhura melanura berlepschi;Pyrrhura melanura
Rhynchopsitta pachyrhyncha pachyrhyncha;Rhynchopsitta pachyrhyncha
Rhynchopsitta pachyrhyncha terrisi;Rhynchopsitta terrisi
Eupsittula nana astec                                                                   Eupsittula nana vicinalis;Eupsittula astec
Eupsittula nana nana;Eupsittula nana
Aratinga solstitialis solstitialis;Aratinga solstitialis
Aratinga solstitialis maculata;Aratinga maculata
Diopsittaca nobilis nobilis;Diopsittaca nobilis
Diopsittaca nobilis cumanensis                     Diopsittaca nobilis longipennis;Diopsittaca cumanensis
Psittacara holochlorus holochlorus              Psittacara holochlorus brevipes              Psittacara holochlorus brewsteri                      Psittacara holochlorus strenuus;Psittacara holochlorus
Psittacara holochlorus rubritorquis;Psittacara rubritorquis
Psittacara wagleri wagleri                                    Psittacara wagleri transilis;Psittacara wagleri
Psittacara wagleri frontatus                                       Psittacara wagleri minor;Psittacara frontatus
Coracopsis nigra nigra                                                           Coracopsis nigra libs;Coracopsis nigra
Coracopsis nigra barklyi;Coracopsis barklyi
Coracopsis nigra sibilans;Coracopsis sibilans
Platycercus flaveolus                                      Platycercus adelaidae;Platycercus elegans
Barnardius semitorquatus                        Barnardius macgillivrayi                     Barnardius barnardi;Barnardius zonarius
Eunymphicus cornutus cornutus;Eunymphicus cornutus
Eunymphicus cornutus uvaeensis;Eunymphicus uvaeensis
Cyanoramphus auriceps forbesi;Cyanoramphus forbesi
Cyanoramphus auriceps auriceps;Cyanoramphus auriceps
Cyanoramphus auriceps malherbi;Cyanoramphus malherbi
Psittacella picta lorentzi;Psittacella lorentzi
Psittacella picta picta                                      Psittacella picta excelsa;Psittacella picta
Charmosyna papou papou ;Charmosyna papou
Charmosyna papou stellae                           Charmosyna papou goliathina                                 Charmosyna papou wahnesi;Charmosyna stellae
Trichoglossus haematodus forsteni                        Trichoglossus haematodus mitchellii                                     Trichoglossus haematodus djampeanus                                 Trichoglossus haematodus stresemanni;Trichoglossus forsteni
Trichoglossus haematodus weberi;Trichoglossus weberi
Trichoglossus haematodus capistratus                               Trichoglossus haematodus fortis                                        Trichoglossus haematodus flavotectus ;Trichoglossus capistratus
Trichoglossus haematodus haematodus                   Trichoglossus haematodus intermedius                         Trichoglossus haematodus nigrogularis                             Trichoglossus haematodus brooki                                 Trichoglossus haematodus micopteryx                                                            Trichoglossus haematodus nesophilus                                          Trichoglossus haematodus massena                                Trichoglossus haematodus deplanchii;Trichoglossus haematodus
Trichoglossus haematodus rosenbergii;Trichoglossus rosenbergii
Trichoglossus haematodus moluccanus                         Trichoglossus haematodus septentrionalis;Trichoglossus moluccanus
Trichoglossus haematodus rubritorquis;Trichoglossus rubritorquis
Trichoglossus flavoviridis meyeri;Trichoglossus meyeri
Trichoglossus flavoviridis flavoviridis;Trichoglossus flavoviridis
Psittaculirostris desmarestii desmarestii                  Psittaculirostris desmarestii blythii                   Psittaculirostris desmarestii occidentalis                          Psittaculirostris desmarestii intermedia;Psittaculirostris desmarestii
Psittaculirostris desmarestii godmani;Psittaculirostris godmani
Psittaculirostris desmarestii cervicalis;Psittaculirostris cervicalis
Cyclopsitta gulielmitertii gulielmitertii;Cyclopsitta gulielmitertii
Cyclopsitta gulielmitertii nigrifrons;Cyclopsitta nigrifrons
Cyclopsitta gulielmitertii amabilis                      Cyclopsitta gulielmitertii ramuensis;Cyclopsitta amabilis
Cyclopsitta gulielmitertii melanogenia                              Cyclopsitta gulielmitertii fuscifrons                            Cyclopsitta gulielmitertii suavissima;Cyclopsitta melanogenia
Cyclopsitta diophthalma diophthalma                    Cyclopsitta diophthalma aruensis                            Cyclopsitta diophthalma coccineifrons                           Cyclopsitta diophthalma virago                      Cyclopsitta diophthalma inseperabilis                              Cyclopsitta diophthalma marshalli                    Cyclopsitta diophthalma macleayana;Cyclopsitta diophthalma
Cyclopsitta diophthalma coxeni;Cyclopsitta coxeni
Eclectus roratus roratus                               Eclectus roratus vosmaeri;Eclectus roratus
Eclectus roratus cornelia;Eclectus cornelia
Eclectus roratus riedeli;Eclectus riedeli
Eclectus roratus polychloros                             Eclectus roratus aruensis                          Eclectus roratus biaki                                        Eclectus roratus solomonensis                              Eclectus roratus macgillivrayi;Eclectus polychloros
Geoffroyus heteroclitus heteroclitus;Geoffroyus heteroclitus
Geoffroyus heteroclitus hyacinthinus;Geoffroyus hyacinthinus
Tanygnathus sumatranus everetti                   Tanygnathus sumatranus duponti                           Tanygnathus sumatranus freeri             Tanygnathus sumatranus burbidgii;Tanygnathus everetti
Tanygnathus sumatranus sumatranus                      Tanygnathus sumatranus sangirensis;Tanygnathus sumatranus
Psittinus cyanurus cyanurus                           Psittinus cyanurus pontius;Psittinus cyanurus
Psittinus cyanurus abbotti;Psittinus abbotti